word	freq
play	83
2	36
\	36
アプリケーション	36
scala	35
html	32
eclipse	31
│	28
1	24
実行	22
インストール	19
index	18
起動	17
場合	16
welcome	16
コマンド	15
作成	15
idea	14
イン	14
main	14
開発	13
application	13
設定	13
プロジェクト	12
20	12
java	12
pleiades	11
以下	11
views	10
message	10
ディレクトリ	10
使用	10
モード	10
コード	10
├	10
必要	10
techapp	10
c	10
)」	9
変換	9
今回	9
0	9
ファイル	9
ポート	9
コンソール	9
3	8
title	8
:\	8
routes	8
view	8
ok	7
ソース	7
紹介	7
string	7
(/	7
@	7
メッセージ	7
バージョン	7
url	6
new	6
source	6
利用	6
app	6
true	6
変更	6
環境	6
4	6
with	6
出力	6
css	6
プラグ	6
bat	6
化	5
7	5
時	5
run	5
後	5
└	5
conf	5
展開	5
src	5
controllers	5
確認	5
表示	5
start	5
mode	5
本番	5
api	5
public	5
controller	4
for	4
簡単	4
ライブラリ	4
準備	4
プロ	4
生成	4
名	4
構成	4
content	4
scalaide	4
版	4
テンプレート	4
p	4
取得	4
パッケージ	4
stage	4
パス	4
キシ	4
bin	4
アクセス	4
web	4
内	4
型	4
上記	4
framework	4
とおり	4
ダウンロード	4
js	4
link	3
スタートアップアプリ	3
is	3
min	3
ready	3
rel	3
「@	3
前	3
リクエスト	3
clean	3
日本語	3
追加	3
変数	3
assets	3
フォルダ	3
言語	3
コンパイル	3
プロセス	3
body	3
指定	3
メソッド	3
to	3
9	3
)@	3
images	3
ソフトウェア	3
at	3
dev	3
build	3
サイト	3
)@(	3
選択	3
引数	3
jquery	3
方法	3
head	3
任意	3
png	3
筆者	3
解説	3
上	3
配下	3
経由	3
stylesheets	3
オブジェクト	3
favicon	3
javascript	3
構築	3
href	3
