word	freq
スレーブ	67
同期	51
マスター	47
更新	41
レプリケーション	30
性能	30
非同期	29
設定	28
メモリ	27
wal	25
2	25
postgresql	22
1	20
利用	19
書き込み	17
9	17
データ	17
場合	15
3	15
ディスク	15
障害	14
レスポンス	14
頻度	14
最新	13
時	13
台	13
pgbench	13
劣化	13
ユーザ	13
可用性	12
検証	11
以下	11
完全	11
0	10
処理	10
構成	10
dbms	9
機能	9
conf	9
今回	8
負荷	8
システム	8
可能	8
数	8
参照	8
4	7
スループット	7
10	7
standby	7
採用	7
方法	7
点	7
図	6
synchronous	6
commit	6
クエリー	6
グラフ	5
的	5
postgres	5
紹介	5
接続	5
存在	5
他	5
発行	5
hostname	5
比較	5
user	5
トランザクション	5
差	5
性	5
発生	4
on	4
環境	4
ケース	4
テーブル	4
name	4
slave	4
件	4
違い	4
情報	4
20	4
結果	4
names	4
間	4
面	4
済	4
シナリオ	4
50	4
application	4
向上	4
内容	4
時間	3
d	3
パターン	3
同時	3
x	3
計測	3
前節	3
応答	3
password	3
作成	3
100	3
程度	3
安定	3
インスタンス	3
単一	3
注意	3
使用	3
用意	3
xeon	3
5	3
出力	3
管理	3
とき	3
mb	3
aws	3
一つ	3
反映	3
時点	3
関係	3
パラメータ	3
必要	3
intel	3
稼働	3
全体	3
recovery	3
後	3
]。	3
e	3
提供	3
分散	3
同一	3
repl	3
