word	freq
rbenv	127
install	86
ruby	60
インストール	59
定義	54
recipe	51
resource	51
chef	40
作成	35
action	27
}/	26
dir	25
cookbook	25
rb	24
path	23
1	23
2	23
version	21
root	20
├	18
file	17
実行	17
使用	16
lwrp	16
内	15
指定	15
ディレクトリ	15
solo	14
独自	13
今回	13
バージョン	12
構成	12
default	11
attribute	11
用	11
ファイル	11
場合	10
env	10
douser	10
bash	10
内容	10
][:	10
パッケージ	10
0	9
名	9
リソース	9
settings	9
└	8
可能	8
環境	8
設定	8
git	8
パラメータ	8
移植	7
provider	7
レシピ	7
build	7
実装	6
grep	6
code	6
例	6
plugins	6
ツール	6
際	6
[:	6
devel	6
node	6
zlib	6
利用	6
end	6
recipes	6
有効	6
ビルド	6
必要	5
依存	5
attributes	5
c	5
w	5
,:	5
new	5
見通し	5
管理	5
以下	5
to	5
コード	5
導入	5
tis	5
変数	5
debian	4
resources	4
処理	4
参照	4
readline	4
directory	4
cookbooks	4
i	4
目	4
dev	4
化	4
knife	4
destination	4
dsl	4
デフォルト	4
mode	4
eohonly	4
配置	4
if	4
runlist	4
export	4
centos	4
echo	4
group	4
$	4
取得	4
global	4
versions	4
}`.	4
eoh	4
bin	4
先	4
rehash	4
wc	4
3	4
│	4
行	4
l	3
方	3
機能	3
下記	3
系	3
create	3
対象	3
opt	3
情報	3
自動	3
endend	3
性	3
コマンド	3
プラットフォーム	3
必須	3
先頭	3
ubuntu	3
的	3
これら	3
doowner	3
紹介	3
...	3
redhat	3
json	3
6	3
os	3
createend	3
公式	3
分割	3
新規	3
web	3
自体	3
格納	3
)。	3
providers	3
