word	freq
opsworks	46
chef	42
構築	39
instance	38
layer	35
recipe	32
環境	29
追加	24
画面	23
aws	23
作成	23
実行	22
app	21
利用	21
サービス	19
構成	18
図	15
アプリケーション	15
選択	15
自動	15
自動的	14
設定	14
登録	14
stack	13
時	13
2	13
場合	12
デプロイ	11
今回	11
手順	11
指定	11
情報	11
用意	11
server	10
際	10
内	10
化	10
提供	9
php	9
1	9
要素	8
変更	8
管理	8
的	8
稼働	8
可能	7
ec	7
type	7
必要	7
console	7
簡単	7
management	7
書	7
elb	7
イベント	7
based	6
ライフサイクル	6
サーバ	6
add	6
3	6
負荷	6
git	5
auto	5
以下	5
elastic	5
起動	5
repository	5
beanstalk	5
項目	5
コード	5
他	5
停止	5
特徴	4
テンプレート	4
7	4
増減	4
5	4
所	4
標準	4
url	4
4	4
基本	4
手軽	4
さまざま	4
サンプルアプリ	4
rails	4
web	4
solo	4
作業	4
自作	4
機能	4
柔軟	4
種類	4
発生	4
guide	3
動作	3
監視	3
time	3
deploy	3
実現	3
データ	3
常時	3
ツール	3
ユーザ	3
定義	3
雛形	3
確認	3
用語	3
公開	3
デフォルト	3
24	3
メニュー	3
一式	3
処理	3
部分	3
障害	3
選択肢	3
スケール	3
従来	3
言語	3
これら	3
user	3
コマンド	3
instances	3
基	3
アクセス	3
load	3
それぞれ	3
healing	3
特定	3
custom	3
cloudformation	3
最低限	3
先ほど	3
次	3
それ	3
すべて	3
複数	3
ruby	3
解析	3
オート	3
存在	3
中	3
