word	freq
shiny	120
server	55
r	48
アプリ	29
$	22
インストール	22
2	19
以下	19
web	16
1	15
sudo	15
パッケージ	15
rstudio	12
作成	12
xxx	12
起動	11
ファイル	11
レポート	11
環境	11
プロジェクト	10
ubuntu	10
結果	9
版	9
確認	9
hello	8
01	8
コマンド	8
今回	8
場合	8
実行	8
公開	8
サンプル	8
10	8
的	7
サーバー	7
表示	7
アプリケーション	7
install	7
とおり	7
設定	6
分析	6
紹介	6
apt	6
ec	6
;	6
構成	6
ユーザー	6
()	6
サンプルアプリ	6
apos	5
動作	5
to	5
srv	5
ui	5
接続	5
&	5
利用	5
インスタンス	5
3	5
情報	5
手順	5
aws	5
用意	5
get	5
ポート	5
動的	5
作り方	4
conf	4
0	4
参考	4
64	4
パラメータ	4
2014	4
config	4
04	4
配置	4
packages	4
後編	4
3838	4
linux	4
ヒストグラム	4
07	4
こちら	4
選択	4
変更	4
ページ	4
ディレクトリ	4
方法	4
上記	4
マシン	4
簡単	3
ls	3
点	3
faithful	3
コンソール	3
画面	3
あと	3
first	3
etc	3
記事	3
group	3
定義	3
入力	3
├	3
以外	3
library	3
スライダー	3
gdebi	3
次回	3
project	3
stop	3
default	3
14	3
oss	3
すべて	3
方	3
間欠泉	3
クラスタリング	3
開発	3
--	3
...	3
security	3
あなた	3
367	3
前編	3
イメージ	3
場所	3
start	3
